source_row_index,requirement,label,token_count,char_length,source_row_count,still_in_training_set,review_status
6208,Send moves/bets,5,2,15,1,yes,held_for_review_not_deleted
6209,Send chat,5,2,9,1,yes,held_for_review_not_deleted
6210,Send gamestate,5,2,14,1,yes,held_for_review_not_deleted
6212,Join game,5,2,9,1,yes,held_for_review_not_deleted
6215,Determine bet,5,2,13,1,yes,held_for_review_not_deleted
6216,Display rules,5,2,13,1,yes,held_for_review_not_deleted
6217,Display game,5,2,12,1,yes,held_for_review_not_deleted
6220,Validate bets/moves,5,2,19,1,yes,held_for_review_not_deleted
6221,Shuffle deck,5,2,12,1,yes,held_for_review_not_deleted
6225,Select games,5,2,12,1,yes,held_for_review_not_deleted
6582,Data Accessibility,5,2,18,1,yes,held_for_review_not_deleted
6591,User Accounts,5,2,13,1,yes,held_for_review_not_deleted
6595,Data Integrity,5,2,14,1,yes,held_for_review_not_deleted
6606,System Security,5,2,15,1,yes,held_for_review_not_deleted
6620,Personal Profile,5,2,16,1,yes,held_for_review_not_deleted
6621,Student Address,5,2,15,1,yes,held_for_review_not_deleted
6623,Email/Fax Address,5,2,17,1,yes,held_for_review_not_deleted
6624,Registration,5,1,12,1,yes,held_for_review_not_deleted
6625,Registration Status,5,2,19,1,yes,held_for_review_not_deleted
6626,Course Status,5,2,13,1,yes,held_for_review_not_deleted
6631,Registration Schedule,5,2,21,1,yes,held_for_review_not_deleted
6632,Grades,5,1,6,1,yes,held_for_review_not_deleted
6637,Registration Assistance,5,2,23,1,yes,held_for_review_not_deleted
6739,Mini profile,5,2,12,1,yes,held_for_review_not_deleted
6741,About,5,1,5,1,yes,held_for_review_not_deleted
6742,Search option,5,2,13,1,yes,held_for_review_not_deleted
6743,Push notification,5,2,17,1,yes,held_for_review_not_deleted
6788,Database design,5,2,15,1,yes,held_for_review_not_deleted
6790,Modeling support,5,2,16,1,yes,held_for_review_not_deleted
6851,Register locations,5,2,18,1,yes,held_for_review_not_deleted
6853,Health Survey,5,2,13,1,yes,held_for_review_not_deleted
6854,Offline survey,5,2,14,1,yes,held_for_review_not_deleted
