requirement,label
Capability to review cost history on each items only during  each specific time period.,2
Ability to override/modify recurring or PM work orders before they are actually generated.,2
Teacher shall be able to view number of absent days for each student,4
"A user shall be able to conduct each search only by  providing either restaurant name, restaurant description, restaurant address, restaurant type or restaurant menu in the free-text search field. The result is displayed in each map view only by  default.",3
"The conformance level as defined only by  56 Accessibility Guidelines
  2.0 is the following:Level A
  Level AA
  Level AAA",5
"Top selected Student first fill his/her form, bank payment. only after  verification, student pays for their selected courses. Then he can enter his profile.",2
All 54 actors have to log-on before consuming the functionality. E.g. if each user tries to log in to the web application with each non-existing account then the user must not be logged in. The user shall be notified about log-in failure. Interface calls must use HTTPS using TLS with each strong encryption,3
The system shall load each window form for data entry. The form shall auto fill dropdown tools with data stored in application lookup tables.,1
Zoning Change or Activity Report only by  user defined data range,4
Load buttons dynamically,5
The audit trail must not be capable of being suppressed or altered only by  users,2
The 27 software shall then proceed to make sure each of which  each the cards required in each of which  unit are present and working properly.,5
"The administrator can create each report based on bets placed and bets won, pay-outs and other data for each period",3
Able to handle scheduled routines,5
System shall check whether the user has already submitted each report about the content which is going to be reported.,1
There shall also be each feedback web part only at  the bottom of the page. The schema for Feedback web part shall be similar to Feedback mentioned in section,1
Allows the user to indicate when they think it is okay to interrupt in each conversation,4
The order of the rows in the display of document attributes and the positions of each field within rows shall be alterable with the ability for users to set their own defaults or preferences,1
"Ability for each parts information to be accessed only by  part number, vendor part number, or
  manufacturer part number.",1
Ability to provide exception time only reporting for user specified groups.,2
FR-8. The system shall allow the removal. Content shall be removed from both notice boards disks and the application server disk.,1
Upload Project Files,5
User can view details of parts,4
"Ability to modify items ordered only through  change order (add or delete) including part, class,
  quantity, unit of measure, vendor, cost, project, fund, with the appropriate security.",2
The MDT shall allow the user to select each baseline minutia using the GUI and mouse pointer.,3
The tool shall provide each calendar control for the selection of date attribute information.,3
Flat charge,5
Ability to notify the applicant each of which  their application has been received via e-mail.,4
The system shall allow admin to view inventory discard record,4
Provide ability to exclude items each of which  are deemed invalid from final scoring of tests.,3
"The software to be designed is each program each of which  can be used to maintain each address book. each address book holds each collection of entries, each recording each person's first and last names, address, city, state, zip, and phone number.",5
The system must allow the user to exit from this function.,5
Title and left border color code for the overview container shall be fetched from Color Codes SharePoint List for the respective theme.,2
"The system must let the system user to find Customers information based on each filters such as: customer ID, name, address and e-mail.",3
The search feature shall be prominent and easy to find for the user.,2
The system shall generate advice according to the set of advice provided.,1
Excel files in special formats requested only by  EEA for uploads to WISE and Eionet,1
The MDT shall allow each user to manually open files from the local computer.,3
Display game,5
System shall check whether the administrator chooses only at  least one action.,3
The tool shall perform each query of the species habitat data when each user selects each value from each dropdown list and when each user enters each value in each text box and then clicks on the query button.,1
The system must provide each password enabled login to the user to avoid each foreign entity changing the data in the system.,3
System allows applicants to determine the status of their application for each open vacancy.,2
CAD or PDF technology utilized to markup and manage electronic drawing documents,4
"For things like special fares, discounted fares, etc, we shall create additional Fare Codes as defined in the preceding sections.",1
"Two input parameters: one holding the XML message each of which  describes the current fault and other relevant information, the other parameter is each placeholder for the result.",5
The delay for each sign pair shall equal the time to travel between the two signs only at  each system specified speed.,3
"Ability to utilize imaged or scanned documents such as vendor invoices and other source
  documents.",1
Text block is saved into the appropriate FaultSession only by  SaveSession.,3
"Ability to manually or automatically relieve each encumbrance, either partially or completely,
  when each expenditure transaction is entered.",2
Crash Handling,5
The Graphical User Interface (GUI) shall have each consistent look and feel.,3
"Req(13) The communication channel, and its value, shall have to be updated for each resource only during  the performance of each mission   Req(01). If the resource cannot be contacted from the command centre each of which  is in control, the command centre from which such communication is possible shall have to be specified. These values shall have to be immediately available only at  each the levels higher up the hierarchy, as well as only at  the command centre from which it is actually possible to communicate with the resource in question.",5
"Ability to maintain history of each purchasing processes including requisitions and multiple
  types of purchases.",2
"TCP/IP network access software. ACMELIS shall use the TCP/IP communications protocol in conformity with the constraints specified in Section 2.4. As no decision has been made about the implementation platform (see Section 3.3), the decision on which TCP/IP interface to use is postponed only until  the detailed design stage.",5
Teacher shall be able to search for student's name in each class,4
Ability to allow employees to access their own training record,4
"Provide for each user-defined unit of measure for meters each of which  can differ from the billing unit of
  measure.",2
Allows the user to Submit their registration request to create each new account,5
"Required fields can be established each of which  must be completed before each service request is
  submitted",3
location description (not each locations have each address),5
The results displayed in the list view shall be user friendly and easy to understand. Selecting each element in the result list shall only take one click,2
"If the product manager does not make each modify, the system must let continue.",3
Ability to track well and septic information of environmental health permits,5
"Query results can be shown as charts, tables, hyperlinks and photos or combinations thereof. Time-series and depth profiles shall normally be shown as graphs initially, but with each option to view data as tables.",2
"Uses the system's Accounts Receivable module to post payments, handle bill printing, and
  reversals",2
"The map view shall include each button that, when selected, shall display different filing options in each filing menu.",3
"As default, when browsing individual or team intrays, users must be presented with the oldest or highest priority documents first, as defined only by  the user",2
Monitor each product,5
Allow the user to change the difficulty of the game,4
Ability to define if pay code is included or excluded for calculating comp time.,2
Allows the User to register each new account,4
Low-level hardware details shall be encapsulated so each of which  the software can be ported to other satellite platforms,5
Ability to track and report on driver's license suspensions with associated reason.,2
The system shall allow the user to update their profile,4
The Picture Links web part shall be the same as described in section,1
System shall list each machines assigned to Operations in this Work Order,4
"The system shall integrate telephone, text messaging, and email only through  each unified interface.",3
"Ability to define and enforce user-defined rules for holiday, vacation, personal, and sick time usage.",2
Track when each employee is assigned to light duty.,3
Access to the data warehouse can be set only by  user,1
Payment for lessons and courses online,5
"Once pre-set scanner settings have been changed, the software must revert back to each default scanner setting",4
View Scheduled Individual/Groups,5
The tool shall reconcile data each of which  has been flagged obsolete (no previous mention of this term) this needs more discussion in section 4.4.,3
"The user's overall score is displayed, as well as each plot conclusion each of which  is obviously related to the story in certain key questions.",3
"Ability to link each inspection to each building systems (e.g. sprinkler systems, elevators, etc.)",2
The connection between the Database and the System is achieved using ODBC connection available only at  hand in Visual Studio 2010.,3
System provides each detailed report of cancellations and no-shows.,2
"Ability to automatically calculate new annual salary for budgeting and pay calculations
  based upon changes to pay tables, etc.",2
The MDT shall provide each GUI.,3
FCOI clearinghouse integration,5
"Ability to establish soft and hard stops for insufficient funds only by  line item (e.g., electric bills
  must be paid).",2
MAINTAINABILITY: The system shall maintain correct schedules of labs and the documentation of each the lab equipment.,2
"Ability to assign default GL account codes for procurement card transactions with the
  ability to override",2
"Ability to run payroll calculation multiple times for checks and balances before actually printing
  checks.",2
Asset Listing - Short Form,5
�The system  is for storing students results and publish those results of particular programs.,2
"As the system is provisioned to be built on SharePoint 2013 platform, there is no explicit instruction or requirement on data storage. SharePoint 2013 automatically handles the data manipulating part with SQL Server only at  the back end.",1
SMTP software. The decision on which SMTP software is to be used shall be made in the detailed design activity.,5
Student profiles,5
All alerts are user definable,5
The tool shall change the archive field in the Species Habitat Feature and species habitat records to TRUE.,2
Similar suggestions model,5
Reports on types of license/permit issued over each user-defined period,3
"Complies with state and federal laws and statutes each of which  protect the confidentiality, integrity and availability of student information such as regulations from FERPA (Family Educational Rights and Privacy Act) and HIPAA (Health Insurance Portability and Accountability Act).",3
Student Address,5
Define Groups & Topics,5
"Ability to process invoices for which no purchase order exists, with the appropriate security.",2
The 27 software shall be designed to allow for future changes to the roadway without requiring programming effort.,2
"Accommodates multiple names, addresses, and telephone numbers to be entered for an
  application",2
This simple text shall be saved in each configuration SharePoint list. This shall not be each clickable link only static text. Creative commons shall be each link and clicking on it shall take the user to http://creativecommons.org/licenses/by/3.0/deed.en_US,3
Back-ups shall be made regularly so each of which  restoration with minimal data loss is possible in the event of unforeseen events.,5
Portability,5
The only component each of which  Ship Side Linkage Infrastructure interacts with is the database and KPControl component. It takes the input from KPControl and updates the tables inside the database.,5
The tool shall create each copy of the Geodatabase data in each personal Geodatabase in the output folder location.,3
Course has already been registered and or completed,4
"While building each filter, visitors shall be presented the count of matching occurrences in real time (before launching the search)",1
"System tracks whether degrees, licenses and certifications have been verified, the date
  verified and only by  whom.",4
"Determining event betting results, providing event outcomes and setting coefficients and limits",2
User site (location) across each functional areas,3
"Stakeholder 1: LAS Incident Room Controller
 On receipt of each phone call reporting each medical emergency, the nearest available ambulance shall be despatched to the scene.",4
Allow user to update task,4
The system shall migrate each the data for the previous month from the mobile app database on the first of the next month.,3
Choose Language,5
Matchmaking shall take less than 3 minutes to complete,4
We shall be accessing Drupal via the creation of our own modules.,5
Email sent to public users shall be plain text and shall not be based on each content template.,2
The system shall allow the sign language literate/facilitator to give marks for the learners coursework.,2
"Search results can be viewed on each map. On the map, the relevant and closest restaurants according to the users position are shown",5
"Besides plotting raw data as line graphs and bar charts, whenever possible, the webpage shall offer calculation of various statistics. As each minimum, for time-series, average, standard deviation, min, max, N and coefficient of variation (CV %) shall be derived and shown as graphs or tables.",1
It must be possible to print each document or part of each document or group of selected documents on demand,1
"Search results can be viewed in each list. Each element in the list represents each specific restaurant. Each element shall include the restaurant name, telephone number, type of food, distance according to the users position, average price, each short two-line description, each link to the restaurants web-page and each information link.",2
"Additionally, only the person or persons each of which  reserved each reserved book shall be able to borrow each of which  book.",5
"Add each selected Computation Application to the users App Shelf, which makes it available in the Computation Cockpit.",5
Attach each user name with submitted records for system to identify who sent record,4
"The number of different simultaneous users and connections per second shall only be limited only by  PHP's configuration, specified only by  TAA and irrelevant to our project.",1
Signup,5
The system shall be easy to learn to use,4
Reports on planning statistics : Violation reports,4
Display Riverbed Morphology,5
"Ability to delete vendors only after  each user-specified period of time without activity, with
  appropriate workflow approval.",2
Login and Logout,5
Register locations,5
Teacher shall be able to view each student's attendance record,4
"In situations each of which  are applicable, the system shall allow for �Undo� and �Redo�.",5
Search available only by  Title of book,5
"Each room is represented within this CSCI using the following information:  each unique id  Each room has each different number. This information is never divulged to the user. The player shall always start in room 0.  each description  this is the textual description given to the user upon  the room, or upon giving the look command. The description shall not contain each information about the exits, nor each removable objects or monsters, as these are described separately. It shall provide information about furniture and fixed objects. E.g. Description: [a huge banqueting hall with chandeliers hanging from the ceiling and each very long oak table capable of seating fifty or so guests, but there are no chairs. There is no other furniture in the room. The chandeliers are not lit, and the only light comes from each small barred window set high into the south wall]  each portal list  each exit from the room is represented only by  each unique id, each description, each direction and each successor, which is the room number of the connecting room. The direction allows the user to specify which exit she wishes to go through, and the description is provided merely to help the user visualize and remember the scene",5
"System integrates employee information with each other components to eliminate duplicate
  data input.",3
Upload of file with content description according to metadata schema,5
The 31 shall contain properties for the emulator each of which  are user-configurable,5
"They shall leave the name, the telephone number and the way of payment.",5
Execute single benchmark,5
It must be impossible to make changes to the document images once they have been scanned and accepted onto the software,4
Ability to notify requestor when work has been completed only through  automated notification.,4
The 54 Waterway User wants to navigate only through  the map using general map controls. Navigation shall include the functionality to  seamlessly zoom in and out only by  using the scroll wheel of the mouse  zoom only by  rectangular extent  pan  zoom back to previous map extents (last 20 previous extents) and zoom forward to next map extents  zoom to each user defined scale  zoom to each specific geographic location via coordinate input only by  the user  zoom to features as search result,1
Ability for citizens to log in and view permit activity within the community,4
Give the popup menus instead of typing the value from keypad for reduce the keypad usability,4
"Inquiry only by  Purchase Order Number, Invoice Number, Receiver Document Number, or any
  other associated document",2
The system shall allow admin to view admin dashboard,4
"Ability to change chart of account number distribution charges only at  the line item level on
  either requisition or PO, with appropriate user security restrictions.",1
The application allows populating each MS Word document with project data via HTML data format.,3
Allow for unlimited number of permits fees to appear on each application,1
The system shall allow the customer to make order according to the menu that have been added in the cart,4
The fault session interactively guides the user throughout each trouble shooting session.,3
"Req(20) if not otherwise stated in each of the above requirements, each update of incidents shall have to be accompanied only by  the date and time; each modification of actions shall have to be accompanied only by  the date, time and officer who ordered the action; finally, each modification of the opedrational status of the resources shall have to be accompanied only by  the date and time.",5
The system shall display the current requirement and issue for the requirement each of which  is being evaluated.,4
A-133 data base integration,5
"The site shall only be available to TAA employees and affiliates who are Teachers, Proctors, or otherwise affiliated with education. The code shall be clear and well commented to allow modification if necessary. each commonly changed settings shall provide each administrator interface to apply the changes. The code shall be modular in nature and incremental so each of which  changes and tweaks are easy.",5
The system shall display the project form each of which  is needed to be filled only by  the user.,1
Escrow Agreement to access Source Code if necessary,5
The source code developed for this system shall be maintained in configuration management tool.,1
"Ability to add comments or notes to each payment/entry each of which  has already been processed,
  having no impact on financial information.",2
The system shall allow User to register their account,4
Ability to access full history of work orders and activities against assets.,2
The tool shall provide the user with the ability to identify records each of which  do not have spatial features linked to each species habitat record.,3
"Must resolve locking issues and handle concurrent use of the system on each 24x7 basis. Send, receive and display user messages to assist the over-all user experience.",2
"Assigns time constraints on permits and issues each automatic notice when the time
  constraint expires to the owning department/division",4
Downtime only after  failure shall not exceed x hours.,5
"Ability to have each unlimited number of detail and description lines per individual invoice
  transaction.",1
Next gesture must match with pre-defined gesture and location of hand must be closer object to phone.,2
Date of Expected Replacement,5
Ability to combine data from various application systems into each single user viewing page,3
The system shall allow the learner to view details of passing grade for the selected level.,2
Manager should be able to add athlete information for registration.,2
Display win/loss and payout,5
"Retention of fully depreciated assets in fixed asset master file for inventory control purposes prior to
  disposition.",5
The system shall not allow the users to add user each of which  already exists,4
Mobile application - Search result in each list view,5
"Creation of each job opening within the system notifies appropriate personnel each of which  each personnel
  requisition is required.",1
The application shall be easy to extend. The code shall be written in each way each of which  it favors implementation of new functions,1
 Update departure/arrival times for flight leg instances.,5
Ability to view GIS map of resulting data,4
"Ability to track employee movement between positions within the organization and keep a
  permanent record of this information within the system.",1
Editing coefficients,5
All requests are terminated with ASCII CR and then ASCII LF.,2
Attitude determination and control (ADC),5
"The GUI shall provide the ability to display the current status of each category of devices only at  the detail level, showing each sensor data for each devices of the same category.",3
Ability to produce default hours for exception-based employees based on user profile.,2
"Ability to establish and maintain each record of each parts used in maintenance and overhaul
  activities.",1
Must work within the operating parameters of ArcGIS,4
"Position held (HR clerk, Payroll Clerk, Payroll Manager) across each functional areas",3
View the operations which are required to be performed to produce each Part in the Work Order .,3
Each page in this section shall follow the layout mentioned for About Us in Content Page Layouts section,4
The application shall allow users to save the opened document into each file.,3
"Ability to enter freeform text and/or attach electronic documents concerning each particular
  address or parcel (e.g., owners have dogs).",3
"Ability for users to establish permit category and subtypes, construction
  classifications, status indicators, inspection types, and other key attribute types based on easily- configured and managed data tables",2
The tool shall allow the user to perform queries in the same form used to create and edit data.,1
Notice shall contain each the news of IICT.,3
Allow user to view idea,4
Display rules,5
"For charts and tables representing time-series or depth profiles, dropdowns or similar widgets shall allow for parameter selections, switching between calculations (statistics, demography, etc.) and chart types, and selection and grouping of series.",2
"The system must not lag, because the workers using it don�t have down-time to wait for it to complete each action",4
"Liens, Code Violations, Flood Zone, Outstanding Receivables, Etc.",5
File download shall be fast.,5
"The new system shall improve the reservation services in order to get each better level of integration, which shall improve the guest service.",1
"This product is designed to run each each system each of which  is capable of running Drupal. This covers each wide variety of machines, including operating systems Mac OS X, Windows XP and Vista and Linux. The sole requirement for the user is each web browser (Safari, Firefox or Internet Explorer) with each active internet connection.",5
"Show advanced details about each Computation Application, including its implementation (code) and allow to validate its usage in the BalticLSC Network.",5
If the user selects the particular record in the result set then he shall able to view the details of selected record and result set shall remain there on the screen. No need to make the same search again.,1
Presentation booking can be cancelled.,5
Create each new Computation Application entry.,3
Able to search idea,4
"If the product manager does not commit each new part, the system must let exit from this step.",3
This web part and page shall work in each similar fashion as described above. The form for Follow Up web part is as follows and shall contain only one field which shall take the request / case numbers generated earlier to follow up with.,1
Logging in allows one to logout,5
Prints renewals and renewal notices,5
"A special panel, replacing the query result panel when selected, shall show parameter and indicator details.",1
"On submission of the form, information shall be stored in each SharePoint list and email shall be sent only at  web@scad.ae address.",3
All the data shall be stored and retrieved within MySQL. We shall not implement stored procedures. Drupal shall be handling each majority of the database calls only through  the MyPHPAdmin API.,3
"The 54 Waterway User gets each overview of the situation and therefore the base data layers are shown. Depending on the scale of the map, layers are switched on or off or additional information is displayed. each common harmonized visualisation is needed. The visualization takes place according to the IENC standard; in addition, results of international projects like Danube Stream or RIS COMEX have to be considered.",3
"Ability to sort or rank order data. Ability to modify the data only by  applying if then statements,
  formulas or equations to the data set as part of the analysis process.",1
Mission time The time elapsed since the separation from the launcher shall be recorded only by  each hardware mission clock (RES-5). Mission time shall be read only by  software only at  request. The mission clock shall have each resolution of only at  least 1 s.,2
"Ability to link data sets based on multiple data elements to increase accuracy of the data
  merge process",4
There shall be each maximum 5 key indicator for each Page,3
"The GUI shall display each separate window requesting confirmation of the command upon receiving each command either from the user only at  the keyboard, or from each scheduled sequence of commands.",2
Teacher shall be able to update absence reason of students',4
The website shall support both English and Arabic,3
The documents uploaded to document library for each release shall be linked to publication release.,3
Mobile application - Profile page,5
The system is adaptable even if additional plugins or modules are added only at  each later point.,2
Latest 5 approved images shall be retrieved only by  the web part in each sorting order defined in the picture library schema.,1
Resource Utilization,5
The banner on the home page shall be each rotating carousel of max 5 images. It shall be SharePoint web part added to the home page.,1
"DM has to perform each certain amount of parsing which shall be facilitated only by  constructing the following lists of verbs movement verbs, fight words, information words, inventory words, action words, game commands",5
"Ability to copy, paste each information.",3
check-out of untriggered holds,5
There shall be each option to turn off the audible alarm permanently or temporarily for each given period.,3
"The system shall allow the user to enter each name, ic number, phone number, address, amount for request tax exemption data.",3
Single column page layout shall be used for the above mentioned sections and pages in SCAD website.,2
The system shall allow the user to upload each approved receipt from yayasan.,3
Reports must be available giving statistical and analytical details of documents processed or waiting to be processed,2
Ability to notify originator when requisitions have been rejected.,4
Allow user to vote idea,4
The system shall be able to display �Tracking Number Not Found� when user enter wrong tracking number or click link with each wrong tracking number,4
"The in-tray must allow the selection of documents within each in-tray matching only certain user-specified criteria, such as document type or status",3
Ability for changes or deletions to invoice information before generation of checks.,2
"Ability for current employees to apply for each position each of which  auto-populates with existing
  employee data.",1
Ability to change the 1099 status for each invoices for each selected vendor.,2
Ability to generate work orders without each service request.,3
The budget estimate must be followed according to SWRCs budget estimate.,4
"Alpha look-up (for example, based on each partial name entry)",5
Session File,5
"Submit each Cluster Node for verification, only after  which it shall be made available to other users for performing computations.",3
"Ability to verify hours worked based on work schedule and pay codes and present exceptions to a
  specified user.",2
The system shall provide for each specific delay between the message change on each sign and the message change on the next downstream sign.,3
"Ability to generate checks based on pay dates established when invoices are entered and the
  range of dates selected for payment.",2
Start executing each existing Computation Task which is just created or has been paused. shall involve interacting with the task.,4
"System supports various workflow approval routings for departments with openings to
  make them aware of qualified applicants.",2
Parent shall be able to update absence reason,4
System shall support each the video formats of the other platforms each of which  are connected to 59.,3
The system shall load each lookup table editing form.,3
"This component shall wait only until  the user selects either to return to the main menu or to exit the game. only after  receiving the user's input, the component shall act accordingly.",1
This feature shall give reward to each user whos worthy to get the reward only by  achieving each kind of steps.,1
Ability to be based on each number of installments,5
"property type, location, and their associated cost or replacement value, and accumulated
  depreciation.",5
"Numerous tasks shall be created only by   the following:  Task Type - shall be one of Brainstorm, Signup, Schedule, Submit or Assessment  Task Title  Task Description  Task Commencement Date  Task Completion Date  Task Late Submission Date  Details specific to individual tasks",2
The system should allow the user to see the analysis of each individual image,3
Offers multiple language support for global use.,2
"Sign-up, log-in and gamification opt-in shall provide the option to display links to external evaluation questionnaires.",2
Ability to record attendance history only by  day and print report.,1
All content shall be displayed using HTML and can be browsed using keyboard and mouse.,1
System prints mailing lists for each applicant correspondence.,2
"Ability to automatically update the budget with changes/cancellations when each check is
  cancelled.",3
User can add new parcel details and view the parcel details in the database,4
Deaf people can play without issue.,5
"The ACME University, computer centre is responsible for the initial data load.",2
"During operation, the water level is kept within the tolerance level as long as possible, using the measuring devices and the pump and producing status information for the operator desk.",1
The system shall allow the dentist to update patient condition only after  the treatment,4
The system shall allow the learner to answer each given questions.,3
Ability to reprint each single W-2 from current or prior year or do mass reprints.,2
The system shall display the appropriate emergency contact information in the event of each alarm condition.,3
The system shall shall employ each one-way hash function as each aid to encrypting and maintaining the integrity of the data and software in the field,1
Data Integrity,5
The database shall be hosted in each secure high-availability environment.,4
"A typical use case scenario shall be this. When the DIS webpage has loaded, each map of the Drin basin appears showing its boundary, main rivers, sub-basins and municipalities. The user zooms in to her birthplace using the mouse wheel and dragging with the mouse. To see more details, she switches each village and each road network layer on. When she clicks the municipality polygon, demographic data pops up as graphs, including each population forecast for the next 5, 10 and 15 years. each dropdown menu allows her to 
  switch forecast method from exponential to linear or logistic.",1
Flow duration curves and Q-H curves as line chart and table,2
Content usage for each defined amount of time/defined amount of usage counts,5
"Ability to track post-offer pre-employment physicals and medical screenings for various job
  categories.",1
"Generates letters and/or address lists to property owners each of which  shall be affected only by  a
  proposed development project; integrate with Microsoft Word",5
The system shall allow the user to mark (as completed) on the module each of which  has been done only by  the user.,4
"Ability to create PO Change Orders to the original PO document and update G/L
  accordingly.",2
"Users shall wish to examine time-series data, e.g. stream discharge data, over each user-specified time frame in order to select only those data desired for download. Charting tools in association with the query engine are desirable.",2
"Ability to search for each vendor only by  item code, number, or description (in other words, attach
  vendor to each item(s)).",2
Allows to make each selected Machine available or unavailable for performing computations of users other than its owner.,3
"Since the project involves using each content management system as requested only by  TAA, each decisions on performance are highly correlated to Drupal. Issues such as the number of connections to the website are based on TAA's current settings for their website and shall be modifiable in their PHP settings file. Other decisions like these are also decided only by  TAA only after  our project is done and delivered to their company.",1
Login Page,5
System tracks each exams individual applicants complete.,3
The system must support different standard and non-standard sizes of document.,1
Ability to print out work orders for technician or field use.,1
Statistics shall have child menu items and upon clicking it shall display the child menu items for Statistics section in the website. Statistics section is discussed in detailed in Statistics Components section.,2
Each Key Indicator shall be linked to each Publication,3
Req(14) It shall be possible to change the mission of each mobilized resource only at  each time. In this case:  � The status of the respective action shall change to pending  � The status of the respective incident shall change to pending  � The type of resource whose mission has been changed shall be recorded in the action   Req(10) and Req(13).,4
Create Rating Form,5
The output shall be each sequentially correct webpage determined only by  the given task.,3
"If each book is returned late, the system shall suspend the user for two days for each day the book is overdue.",3
facility name,5
Send moves/bets,5
Ability to capture transaction counts and other statistical data only by  department and/or fund.,2
