requirement,true_dataset_label,true_name,pred_dataset_label,pred_name,pred_confidence,true_class_probability,confusion_group,token_count
"Select water use data temporally or with geographic overlays, which can be from another layer or graphics on the page. Also be able to place it in each Excel spreadsheet.",6,clean,3,semantic,0.49611955881118774,0.14408138394355774,clean_to_ambiguous,30
The system must have only at  least each Super-User role and each User role defined for accessing and interacting with the system,4,syntax,3,semantic,0.42346346378326416,0.10095787793397903,semantic_syntax,22
"End-user tools provide quick response times to their end-users; describe your ability to
  consistently provide sub-second response times.",5,pragmatic,2,syntactic,0.41651681065559387,0.05284018814563751,other,18
Ability to analyze and adjust land valuation characteristics individually.,6,clean,2,syntactic,0.46932584047317505,0.33788201212882996,clean_to_ambiguous,9
The system shall allow each registered visitor to save each custom filter,6,clean,4,syntax,0.3783205449581146,0.3286662697792053,clean_to_ambiguous,12
"The software must provide the ability to input invoice due date and hold invoice payment
  only until  the due date occurs.",6,clean,2,syntactic,0.528561532497406,0.29658904671669006,clean_to_ambiguous,21
"Ability to enter future date for changes to employee or retiree's benefits: e.g.. age 65, end of
  probationary period, etc.)",2,syntactic,6,clean,0.48679453134536743,0.2893752157688141,ambiguous_to_clean,20
Ability to accommodate State of Wisconsin mandated rules and laws,6,clean,4,syntax,0.6949282884597778,0.1254606992006302,clean_to_ambiguous,10
Admin pages shall only be accessed only by  admin.,6,clean,4,syntax,0.2846437990665436,0.22992560267448425,clean_to_ambiguous,9
The program must be able to be executed in each simple computer or notebook or netbook.,6,clean,3,semantic,0.7247239947319031,0.10414467751979828,clean_to_ambiguous,16
The system shall display the group leader name,6,clean,4,syntax,0.5236921310424805,0.3198595345020294,clean_to_ambiguous,8
"The architecture and design shall provide for notification of software errors and exceptions to the server. System monitoring shall be carried out only at  user interface, application and database level.",6,clean,2,syntactic,0.42943185567855835,0.3277122676372528,clean_to_ambiguous,30
"Given each of which  each user has registered, then the user shall be able to retrieve his/her password only by  email.",5,pragmatic,3,semantic,0.4118146300315857,0.28761693835258484,other,21
Failure to return the book within the loan period shall entail each two-day suspension for each day of delay.,1,lexical,3,semantic,0.4082043766975403,0.2933531105518341,other,19
"The ability to enter and compile hours worked and leave time hours with only at  least 6 numeric digits
  (XXX.XX 4 digits plus 2 digits only after  decimal place)",2,syntactic,6,clean,0.3936541676521301,0.3236665725708008,ambiguous_to_clean,29
The system shall relay information regarding current software version information such each of which  it can be determined whether each software update is required,6,clean,4,syntax,0.2964867055416107,0.23171186447143555,clean_to_ambiguous,24
The system shall provide each contractual agreement with each internet service provider for T3 access with 99.9999% availability.,2,syntactic,3,semantic,0.5570842623710632,0.08572127670049667,other,18
Ability to validate field values within the budget entry screen.,6,clean,2,syntactic,0.4239628314971924,0.36687663197517395,clean_to_ambiguous,10
"Ability to merge other module data into budget reports (e.g., budgeted and actual
  positions).",6,clean,2,syntactic,0.46391332149505615,0.294453889131546,clean_to_ambiguous,14
"Allow patrons to choose 'any copy' on titles with volumes, if patron does not have volume preference",6,clean,4,syntax,0.6148722767829895,0.12367226183414459,clean_to_ambiguous,17
"A default user identifier shall exist each of which  allows anonymous, read-only access to the system (e.g., �guest�)",6,clean,3,semantic,0.3722308874130249,0.1885935366153717,clean_to_ambiguous,18
Organizer should be able to update the live scoreboard.,6,clean,2,syntactic,0.47642287611961365,0.35911816358566284,clean_to_ambiguous,9
"Ability to view, export, sort, limit, format, search, and update each fields in hold records.",6,clean,3,semantic,0.4535623788833618,0.19305957853794098,clean_to_ambiguous,15
The software shall feature each facility to recognise content on each page and omit blank pages thereby reducing file size,1,lexical,3,semantic,0.5057392716407776,0.11163642257452011,other,20
Ability to mail merge data with Word documents or use Crystal Reports.,6,clean,2,syntactic,0.4285045266151428,0.3761006295681,clean_to_ambiguous,12
"Ability to apply credit and debit adjustments and positive / negative consumption
  adjustments to accounts anytime only during  the billing cycle.",6,clean,2,syntactic,0.5416547656059265,0.2811373174190521,clean_to_ambiguous,21
The status change decision made only by  the user.,6,clean,5,pragmatic,0.7365694642066956,0.13603150844573975,clean_to_ambiguous,9
"The software must be able to store forms or documents requiring additional supporting documents only at  the point of indexing. When such additional documents are received, they must be added to the original document to make one document on the system and then automatically routed to each in-tray.",6,clean,3,semantic,0.3116084635257721,0.25558236241340637,clean_to_ambiguous,48
The tool shall run each process each of which  uses the configuration found in the application to gather feature metadata information from the selected feature classes and stores this metadata information into the appropriate table.,1,lexical,3,semantic,0.6053087711334229,0.19749130308628082,other,35
Develop and maintain each metadata database each of which  provides browse and query access to formal descriptions of the database elements. Provide tools for database contributors to create and upload metadata compatible with the 91 metadata database.,2,syntactic,3,semantic,0.3863773047924042,0.17690660059452057,other,37
"Ability to prevent transactions from being processed in closed prior years and unopened
  future years.",6,clean,2,syntactic,0.5512607097625732,0.2557384669780731,clean_to_ambiguous,15
The software must incorporate each license key authentication process.,4,syntax,3,semantic,0.6715415120124817,0.010252125561237335,semantic_syntax,9
The system shall control each system field elements to device sensor level for those device sensors each of which  shall be controlled.,6,clean,3,semantic,0.6172765493392944,0.14231425523757935,clean_to_ambiguous,22
"Ability for multiple staff members and patrons to simultaneously access and update patron and item records, including on staff check-in and check-out terminals, on self check-out stations, only through  SIP2/NCIP2 and similar protocols and APIs, and in OPAC. Depending on assigned privileges, staff can view each patron and item fields; patrons can access only selected fields.",6,clean,2,syntactic,0.3021487295627594,0.28937962651252747,clean_to_ambiguous,56
The system shall allow user to register to the system,6,clean,4,syntax,0.930247962474823,0.030545858666300774,clean_to_ambiguous,10
System shall mimic standard input functioning of the particular style of device.,1,lexical,6,clean,0.41216233372688293,0.13868527114391327,ambiguous_to_clean,12
Browse and query watershed metadata only by  theme or location,2,syntactic,4,syntax,0.3619532585144043,0.12225016206502914,syntactic_syntax,10
All code shall be fully documented. Each function shall be commented with pre- and post-conditions. each program files shall include comments concerning authorship and date of last change.,6,clean,3,semantic,0.574059009552002,0.13265526294708252,clean_to_ambiguous,28
The publication web parts are the most web important web parts in SCAD website as they provides the core information users are interested in; two web parts shall be created to cater the publications functionality:,6,clean,1,lexical,0.35254791378974915,0.15907122194766998,clean_to_ambiguous,35
The user shall have the ability to postpone each reminder.,6,clean,3,semantic,0.6744531989097595,0.11947127431631088,clean_to_ambiguous,10
"Ability to set up ""uncontrolled"" or tracked budgets (i.e., salary).",6,clean,2,syntactic,0.4790300726890564,0.3201066851615906,clean_to_ambiguous,10
"The software must have the option to store financial transactions in each temporary hold status
  only until  approved for posting to the general ledger only by  accounting personnel.",6,clean,3,semantic,0.35336315631866455,0.247964009642601,clean_to_ambiguous,28
The system shall display the description of each category ranking,4,syntax,3,semantic,0.3901280164718628,0.10171124339103699,semantic_syntax,10
"Download, update and upload Excel files for each media covered only by  DIS (water quality, hydrology, meteorology, etc.)",6,clean,3,semantic,0.6258102059364319,0.15288110077381134,clean_to_ambiguous,18
"Ability to establish and adjust budgets for each grant, with budget amendment.",6,clean,3,semantic,0.32866325974464417,0.2827680706977844,clean_to_ambiguous,12
"The software must provide comprehensive inquiry option with drill down capabilities for the
  user to access summary information or detail information as needed.",6,clean,2,syntactic,0.5377512574195862,0.28507229685783386,clean_to_ambiguous,23
Allow real time collaboration on each draft across multiple users,6,clean,3,semantic,0.33862563967704773,0.29408204555511475,clean_to_ambiguous,10
"Preview option in search results list, which is defined only by  Content Pro- vider. Preview shall be textual information or each reduced version of the functional service or tool.",5,pragmatic,3,semantic,0.48125988245010376,0.08350072801113129,other,29
Customer workstation shall have only at  minimum 128 MB of RAM.,6,clean,2,syntactic,0.3560634255409241,0.3249872028827667,clean_to_ambiguous,11
"Ability to monitor who is currently online, who is in the virtual classrooms.",5,pragmatic,2,syntactic,0.6051101684570312,0.017901381477713585,other,13
Know how much water has been permitted and how much has been used based on land use over time.,6,clean,5,pragmatic,0.44821101427078247,0.16495998203754425,clean_to_ambiguous,19
The user shall be provided with the functionality to post each reply to each particular discussion thread which can be read only by  entire group.,6,clean,3,semantic,0.6113125085830688,0.11948627233505249,clean_to_ambiguous,25
"All data related to the word must be shown. For example if user types �abc� and abc is part of each password and of each username, both entries must be shown",6,clean,3,semantic,0.4007323086261749,0.1053181141614914,clean_to_ambiguous,31
"Duplicates each existing permit application and each associated information to each new application only at  each different location. Another example shall be each ""standard plan"" type of
  application each of which  is being built repeatedly only by  each contractor",4,syntax,3,semantic,0.586644172668457,0.01485802885144949,semantic_syntax,39
"The software must allow for easy access to transaction inquiry, such as retrieval only by  check
  number, dollar amount, description or other variables.",6,clean,2,syntactic,0.5003352761268616,0.2988753914833069,clean_to_ambiguous,23
"This shall be done via Drupal, with Drupal storing the username and password in the MySQL database with encryption. each other information about specific users, tasks, and money shall also be stored in the MySQL database.",3,semantic,1,lexical,0.5905049443244934,0.13404902815818787,other,36
"Ability to accommodate online cancellation and one step automatic reversals of invoice
  entries.",6,clean,2,syntactic,0.5581668019294739,0.27873897552490234,clean_to_ambiguous,13
System shall generate citation links back to specific points in each given text content objects,6,clean,3,semantic,0.4216637909412384,0.3000507652759552,clean_to_ambiguous,15
"Ability to follow organization history of the position (list of employees who filled each position
  over each user-specified period of time).",1,lexical,3,semantic,0.3307986855506897,0.2539919912815094,other,21
View report for each harvesting jobs,5,pragmatic,3,semantic,0.37847474217414856,0.36499032378196716,other,6
"System must have conflict resolution features so each of which  two different users shall not
  update each record differently only at  the same time.",1,lexical,3,semantic,0.5773530602455139,0.14361141622066498,other,24
Provides extensive documentation and online help functions,5,pragmatic,4,syntax,0.6443231701850891,0.18044422566890717,other,7
"All 54 services each of which  collect data shall provide each availability of 98% only at  minimum (measured based on the 7 days, 24 hours, 365 day) service provision. Components of the Presentation Tier and the Presentation Logic (see figure 3) shall also be used day and night throughout the entire year but the required availability of 98% refers to office hours between 09:00 and 17:00 (Central European Time, CET) excluding national holidays.",3,semantic,1,lexical,0.4047037661075592,0.31404733657836914,other,73
Ability to produce each Cash Requirements report for each pay cycle,2,syntactic,3,semantic,0.4286736249923706,0.04516056552529335,other,11
Ability to back out divisions in case of incomplete recording or data entry errors,6,clean,4,syntax,0.7010135054588318,0.11564861983060837,clean_to_ambiguous,14
Summary of average and median staff time for permit types for completed projects,4,syntax,2,syntactic,0.2806518077850342,0.24507741630077362,syntactic_syntax,13
The statistical page layout is as follows. Each page in Statistics section shall be based on this layout.,5,pragmatic,1,lexical,0.47206854820251465,0.15090589225292206,other,18
Ability to list date employment ended if they did not return to work,1,lexical,4,syntax,0.867545485496521,0.01326221413910389,other,13
Ability to convert lines of requisitions to multiple purchase orders and different vendors.,6,clean,2,syntactic,0.49854162335395813,0.30364376306533813,clean_to_ambiguous,13
The software shall provide code each of which  emulates each parallel communications (LPT) port,6,clean,3,semantic,0.620880126953125,0.14732158184051514,clean_to_ambiguous,14
"Ability to record and display each parts issues, receipts, transfers and audits.",1,lexical,3,semantic,0.31339186429977417,0.16071507334709167,other,12
"Provision of error checking and permit validation routines each of which  verify each of which  each required fees have been paid, contractor licenses are valid, permit has not expired, etc. before an
  inspection is scheduled.",4,syntax,3,semantic,0.44083917140960693,0.034053586423397064,semantic_syntax,35
"The system shall reflect each new and changed product description
  within x minutes of the database being updated only by  the product
  owner. This shall reduce the number of incidents of incorrectly
  displayed information only. This eliminates the current
  redundant update of information, saving $y dollars annually.",6,clean,1,lexical,0.5055617690086365,0.13679692149162292,clean_to_ambiguous,47
"Ability to summarize individual line-item accounts into groups of accounts for use in
  financial reporting based on user-defined criteria.",6,clean,2,syntactic,0.490619033575058,0.2825136184692383,clean_to_ambiguous,19
Users shall not be able to reserve reference works.,1,lexical,5,pragmatic,0.34951478242874146,0.0752423107624054,other,9
Prepare files to be submitted to EEA and Eionet,2,syntactic,5,pragmatic,0.6411243081092834,0.05791623890399933,other,9
Whether the editing shall take place directly in the control or inside each popup dialog is only up to  the developer. In each case each pair of Save and Undo (or Cancel) options shall exist. Undo could just be each click outside each dialog without hitting Save. each errors only during  updates on the server shall be shown to the user.,2,syntactic,1,lexical,0.5039089918136597,0.04156545549631119,lexical_syntactic,61
Library staff shall be able to access and cancel user suspensions.,2,syntactic,6,clean,0.401792049407959,0.3771156072616577,ambiguous_to_clean,11
Ability to track funding source to the position.,1,lexical,6,clean,0.4291032552719116,0.10648541152477264,ambiguous_to_clean,8
"System provides each configurable schedule of overdue notifications, including the number of notifications and the number of days delay before and between notices.",6,clean,3,semantic,0.43550705909729004,0.1903759390115738,clean_to_ambiguous,23
"Ability to set up soft and hard stops for processing transactions with insufficient funds
  appropriations.",1,lexical,2,syntactic,0.5335670113563538,0.11901256442070007,lexical_syntactic,15
"Full compatibility with OCLC Connexion for searching bibliographic and authority records, creating and editing bibliographic records, and importing records to system (with or without overlaying) via OCLC's Gateway Interface.",6,clean,2,syntactic,0.4449312686920166,0.35475796461105347,clean_to_ambiguous,29
The system is able to work with either shapefiles or each geo database.,6,clean,3,semantic,0.6721111536026001,0.14201486110687256,clean_to_ambiguous,13
"The software must consolidate vendor payments onto one check, detailing invoice numbers
  and dates or selectively produce individual checks.",6,clean,2,syntactic,0.39535006880760193,0.33480262756347656,clean_to_ambiguous,19
The system shall allow the coordinator to only edit projects each of which  have been approved but unassigned to students.,6,clean,3,semantic,0.4861031472682953,0.24543198943138123,clean_to_ambiguous,20
The meeting inviter and minute taker shall be able to view the meeting attendee invitation confirmation status.,6,clean,2,syntactic,0.4415287375450134,0.340780645608902,clean_to_ambiguous,17
The system shall allow each administrator to suspend each user ID from further use.,6,clean,3,semantic,0.5788591504096985,0.19639337062835693,clean_to_ambiguous,14
"Ability to report on each encumbered position and easily identify when each position is
  eliminated.",1,lexical,3,semantic,0.4747328758239746,0.1602003276348114,other,15
The working in the system shall be well planned and organized. The image shall be stored properly and shall help in implementing the secrecy,6,clean,4,syntax,0.5973167419433594,0.10772989690303802,clean_to_ambiguous,24
Ability to have new parcel number values only by  classification balance back to old parcel number and balance to tax entities and/or interface with our new ELAM Accela system.,6,clean,2,syntactic,0.3933970332145691,0.3611510992050171,clean_to_ambiguous,29
Ability to prohibit multiple users from updating the same record simultaneously.,6,clean,2,syntactic,0.3661215007305145,0.3295573890209198,clean_to_ambiguous,11
"The logo shall be positioned right in the header, floating right.",5,pragmatic,1,lexical,0.29150235652923584,0.2846836447715759,other,11
Ability to accommodate military and foreign mailing addresses.,6,clean,2,syntactic,0.4467261731624603,0.36401984095573425,clean_to_ambiguous,8
User shall Enable or Disable each fare and set $ amounts,5,pragmatic,4,syntax,0.7767799496650696,0.025514492765069008,other,11
The administrator shall have the ability to edit each users system access properties,6,clean,3,semantic,0.5170403122901917,0.28361937403678894,clean_to_ambiguous,13
User defined fields,6,clean,5,pragmatic,0.9642799496650696,0.011347007006406784,clean_to_ambiguous,3
The system is able to display inspection requests in the map,6,clean,4,syntax,0.441834032535553,0.38275882601737976,clean_to_ambiguous,11
"This application accesses the users social media sites. While using the application, the user shall not provide each information each of which  they do not want to be available to the public, since everything given is pushed to the users linked social media account. Take the same precautions each of which  shall be used normally on each of these sites.",6,clean,5,pragmatic,0.4579811990261078,0.04242813587188721,clean_to_ambiguous,60
Clicking on parent menu items in the top navigation shall reveal child menu items and clicking on each of these shall take to their respective page in the website.,3,semantic,1,lexical,0.502857506275177,0.33016711473464966,other,29
The system shall provide each read-only informational view each of which  shall be utilized only by  Department employees (non-discipline) each of which  are outside of the scope of the ROW Certification process,6,clean,3,semantic,0.4197249710559845,0.2567412853240967,clean_to_ambiguous,32
"Log transactional data about check-outs: date, time, location, patron type, zipcode, title, type",6,clean,5,pragmatic,0.30308759212493896,0.20223581790924072,clean_to_ambiguous,13
"System queries Sales person for information on customer such as customer ID, customers name, telephone, fax and address.",6,clean,2,syntactic,0.4408341646194458,0.35987696051597595,clean_to_ambiguous,18
"Implementation includes safeguards for each efficient, accurate and easily verifiable data conversion",6,clean,3,semantic,0.5708611607551575,0.1950833797454834,clean_to_ambiguous,12
"The system shall have each average run time of 15 to 20 min per session depending on the user, although the user shall use the system longer.",6,clean,3,semantic,0.4695168733596802,0.19931884109973907,clean_to_ambiguous,27
"If the internet service gets disrupted while sending information to the server, the information can be send again for verification.",6,clean,2,syntactic,0.4451245367527008,0.16276004910469055,clean_to_ambiguous,20
Link the parcel data with appointment schedule.,6,clean,5,pragmatic,0.47908616065979004,0.26799607276916504,clean_to_ambiguous,7
The HTML to be displayed on the client,4,syntax,5,pragmatic,0.6351601481437683,0.2368011325597763,other,8
The time take to export requirements shall be less than 2 seconds.,6,clean,2,syntactic,0.3101038336753845,0.2987281382083893,clean_to_ambiguous,12
"Allows the addition and reassignment of cycles and routes without affecting the customer or
  location identification numbers.",6,clean,2,syntactic,0.5384916663169861,0.26334425806999207,clean_to_ambiguous,17
"Users shall be able to cancel or extend the term of their reservations, if they so wish.",5,pragmatic,2,syntactic,0.2905804514884949,0.20599383115768433,other,17
Color of the Key Indicators theme shall be fetched from color codes SharePoint list. For example in the figure above Agriculture and Environment text and the left border of the container is being displayed in its respective RGB color code,4,syntax,1,lexical,0.43455806374549866,0.038471467792987823,other,40
